油管-百家讲坛_2,#genre#
宋朝那些人和事儿 EP9 王安石所倡导的究竟是一场怎样的变法改革？20210430,https://www.youtube.com/watch?v=fAGBgUBi7dQ
宋朝那些人和事儿 EP10 王安石的伙伴都是奸臣？20210501,https://www.youtube.com/watch?v=aiEkX4sjcDQ
宋朝那些人和事儿 EP11 政坛东坡 被认定为宰相“候选人”的苏东坡 为什么后来却被一贬再贬？20210502,https://www.youtube.com/watch?v=2-Xo6jBOgzo
宋朝那些人和事儿 EP12 东坡的衣食住行 苏东坡的日常生活究竟是什么样的？20210503,https://www.youtube.com/watch?v=V4H2tsK0YIE
宋朝那些人和事儿 EP13 为什么苏东坡能在黄州留下如此多的千古名篇？黄州又给他带来了怎样的情感体验与人生反思呢？20210504,https://www.youtube.com/watch?v=oIYVfv3PRdo
宋朝那些人和事儿 EP14 繁荣富庶的北宋王朝为何突然就灭亡了？北宋靖康之耻的真相，没有你的想象那么简单！20210505,https://www.youtube.com/watch?v=LIs0KFQ_djc
宋朝那些人和事儿 EP15 南宋“中兴四将”之首的岳飞是如何一步步成为“大宋军神”的？20210506,https://www.youtube.com/watch?v=BTkLzPc4V5c
宋朝那些人和事儿 EP16 魂归风波亭 岳飞是否真的必死无疑？他的冤死又仅仅是皇帝昏庸、奸臣当道这么简单吗？20210507,https://www.youtube.com/watch?v=UalKUnLm0RE
以养子身份继位 打造五代十国最强政权 五代第一明君柴荣为什么会暴病身亡？宋朝那些人和事儿（第二部）1 柴荣的心愿 20240331,https://www.youtube.com/watch?v=RdmBYYEpXIE
五代乱世终结者赵匡胤 他的人生都有什么传奇经历？宋朝那些人和事儿（第二部）2 赵匡胤的成功密码 20240401,https://www.youtube.com/watch?v=xtIarZZyewc
历史上真的有“狸猫换太子”吗？曹皇后还健在 宋仁宗缘何执意追封已故张贵妃为皇后？宋朝那些人和事儿（第二部）3 仁宗的功业 20240402,https://www.youtube.com/watch?v=csgwLH_V-GQ
灌汤包、火锅、刺身、冰淇淋...... 竟然还有“深夜食堂” 宋朝人真的太会吃了吧 宋朝那些人和事儿（第二部）4 饮食革命 20240403,https://www.youtube.com/watch?v=UPFJmpMVpDQ
东坡肉、灌汤包、火锅、炒栗子...... 寻找流淌至今的烟火味儿 体验舌尖上的大宋风华 宋朝那些人和事儿（第二部）5 舌尖上的美食 20240404,https://www.youtube.com/watch?v=UrOcnM8E1cc
古人也爱聚餐？宋朝有哪些著名的饭局？宋代文人聚会都干啥？来看看宋朝人民约饭那些事儿 宋朝那些人和事儿（第二部）6 饭局里的讲究 20240405,https://www.youtube.com/watch?v=01uwWfav5Pg
皇帝亲笔下诏 设法劝饮？人们甚至借贷饮酒 宋代全民饮酒之风为啥举国若狂？宋朝那些人和事儿（第二部）7 酒里乾坤 20240406,https://www.youtube.com/watch?v=XoJLFuU5ozY
宋代点茶竟有七道工序 斗茶到底斗什么？以茶会友、品茗论道 论喝茶 宋朝人才是王者 宋朝那些人和事儿（第二部）8 茶香四溢 20240407,https://www.youtube.com/watch?v=m1UZYs9fsCo
汝瓷的“天青”色跟宋徽宗有什么关系？汝瓷烧制时期仅约20年 为何却惊艳了千年？宋朝那些人和事儿（第二部）9 宋瓷的魅力 20240408,https://www.youtube.com/watch?v=9lfFRlt03CU
欧阳修是如何成为一代文宗的？一场考试诞生9位宰相 “千古科举第一榜”到底有多牛？宋朝那些人和事儿（第二部）10 一代文宗欧阳修 20240409,https://www.youtube.com/watch?v=DVARApZ-sBE
