油管-百家讲坛_1,#genre#
东晋十六国最坚固的城市是如何沦陷的？揭秘北魏骑兵攻克大夏统万城背后的故事 金戈铁马（骑兵篇）17 北魏灭夏 20240531,https://www.youtube.com/watch?v=eHI-1iRN5lo
步兵VS骑兵 以一打十大获全胜！刘裕是怎样创造这次战争奇迹的？历史上鼎鼎有名的“却月阵”究竟有多神奇？金戈铁马（骑兵篇）16 以车克骑 20240530,https://www.youtube.com/watch?v=zLZG2KtTfeE
后燕是如何建国的？慕容垂如何亲手培养了自己王朝的“掘墓人”？金戈铁马（骑兵篇）15 后燕兴亡 20240529,https://www.youtube.com/watch?v=LD_PRDzPqmc
苻坚假意救援坐山观虎斗 王猛以少胜多大败慕容评 揭秘前秦吞并前燕的战略布局及骑兵制胜关键 金戈铁马（骑兵篇）14 前秦灭燕 20240528,https://www.youtube.com/watch?v=4pqPJKQIATI
天龙八部的慕容复“复”的是什么国？在建立前燕王朝的征途上 慕容氏一族都经历了怎样的跌宕起伏？金戈铁马（骑兵篇）13 鲜卑慕容 20240527,https://www.youtube.com/watch?v=BHq6X9NSa14
古代重骑兵究竟有多厉害？马鞍、马镫、马铠的发明有何作用？揭秘历史战争中的重骑兵力量 金戈铁马（骑兵篇）12 甲骑具装 20240526,https://www.youtube.com/watch?v=XDJ3wssvSqA
真实的三国骑兵是什么样子的？吕布、关羽、赵云...... 那些大名鼎鼎的三国将军们是否真的所向披靡呢？金戈铁马（骑兵篇）11 三国骑将 20240525,https://www.youtube.com/watch?v=UsFQzI9TklQ
斩袁谭、捉蹋顿、打得刘备妻离子散...... 曹操麾下的虎豹骑为何所向披靡？金戈铁马（骑兵篇）10 魏武挥鞭 20240524,https://www.youtube.com/watch?v=95Yn9ERGbSU
横扫匈奴 助刘秀称帝 号称“天下精兵”的幽州突骑有多强？金戈铁马（骑兵篇）9 幽州突骑 20240523,https://www.youtube.com/watch?v=ntWYQ9sc7NE
汉代骑兵善用哪些兵器？它们在骑兵部队作战时 是如何突显汉军英姿的？金戈铁马（骑兵篇）8 劲弩长戟 20240522,https://www.youtube.com/watch?v=RZb2XkClkWU
少年成名 李广为何“难封”？探秘飞将军李广高开低走的一生 金戈铁马（骑兵篇）7 汉家飞将 20240521,https://www.youtube.com/watch?v=KHQPagwVDWo
漠北之战卫青破匈奴王庭 李广迷路自刎 揭秘霍去病封狼居胥背后鲜为人知的故事 金戈铁马（骑兵篇）6 封狼居胥 20240520,https://www.youtube.com/watch?v=fFv4BGcOaNc
两度孤军深入 重创匈奴部落 河西之战霍去病是怎样发挥他的优点的？汉军骑兵又为何选择在春天发动进攻？金戈铁马（骑兵篇）5 跃马河西 20240519,https://www.youtube.com/watch?v=oRWx_5owYhY
龙城之战李广兵败被俘 卫青率军直捣龙城得胜归来 骑兵发挥了怎样的作用？金戈铁马（骑兵篇）4 大汉反击 20240518,https://www.youtube.com/watch?v=aOKALiIpqxg
刘邦亲率32万大军讨伐匈奴 为何会惨败？被围困白登山上七天七夜 刘邦是如何脱身的？金戈铁马（骑兵篇）3 白登之围 20240517,https://www.youtube.com/watch?v=r4YbvYSBmnk
彭城之战 项羽3万精骑击溃刘邦60万大军 垓下决战 刘邦的郎中骑兵逼死项羽 盘点楚汉争霸中双方骑兵获得的那些辉煌战绩 金戈铁马（骑兵篇）2 楚汉狂飙 20240516,https://www.youtube.com/watch?v=bQpuQw4QWEs
在冷兵器时代 骑兵有什么作用？练骑兵、穿胡服 赵武灵王是如何颠覆传统 推行胡服骑射改革的？金戈铁马（骑兵篇）1 胡服骑射 20240515,https://www.youtube.com/watch?v=LtGKDpKy-qo
主动请辞却被升迁 欧阳修傻眼了 晚年的欧阳修又遇到了哪些意想不到的事情呢？一代文宗欧阳修10 风骨传万代 20240514,https://www.youtube.com/watch?v=U-WQT9gl8j0
