油管-百家讲坛_3,#genre#
向经典致敬 本期致敬人物——著名词曲作家 吕远  【中国文艺  20160605】,https://www.youtube.com/watch?v=Iwn1yZH0zic
向经典致敬 本期致敬人物——著名词曲作家 吕远  【中国文艺  20160604】,https://www.youtube.com/watch?v=ER2n10XLb58
最爱女笑星——黄晓娟  【中国文艺  20160603】,https://www.youtube.com/watch?v=8UcRD73p2ZE
最爱女笑星——高秀敏  【中国文艺  20160602】,https://www.youtube.com/watch?v=ngiBRUKaQbA
最爱女笑星 —— 马丽  【中国文艺  20160601】,https://www.youtube.com/watch?v=5WmFqXFMwXg
最爱女笑星 —— 贾玲  【中国文艺  20160531】,https://www.youtube.com/watch?v=YQ4iCuLOa1g
最爱女笑星 —— 蔡明  【中国文艺  20160530】,https://www.youtube.com/watch?v=PIXGCMnpULU
阎肃专辑·欢乐阎肃  【中国文艺  20160529】,https://www.youtube.com/watch?v=N3HHNjMSULg
向经典致敬 本期致敬人物——人民音乐家 聂耳  【中国文艺  20160528】,https://www.youtube.com/watch?v=Vmty8QvGQFI
秦腔文武小生：李小锋  【中国文艺  20160527】,https://www.youtube.com/watch?v=4GF4jndKOLY
【中国文艺 20160526】,https://www.youtube.com/watch?v=FmBwfGfm5Tc
演技实力派  【中国文艺  20160525】,https://www.youtube.com/watch?v=hJEr5pqiwD0
演技实力派  【中国文艺  20160524】,https://www.youtube.com/watch?v=73m-MxhQqoI
不朽的传艺者  【中国文艺  20160523】,https://www.youtube.com/watch?v=HlLc32RPvX8
不朽的传艺者  【中国文艺  20160522】,https://www.youtube.com/watch?v=fTWpPuRXAAw
向经典致敬 本期致敬人物——男高音歌唱家 郭颂  【中国文艺  20160521】,https://www.youtube.com/watch?v=zVTRorLe9eM
演技实力派  【中国文艺 20160520】,https://www.youtube.com/watch?v=Th29Y1OqQWA
演技实力派  【中国文艺  20160519】,https://www.youtube.com/watch?v=1PiKX2W4WE8
京剧一生 李世济  【中国文艺  20160518】,https://www.youtube.com/watch?v=UEHqiHydgOk
魔法奇观  【中国文艺  20160515】,https://www.youtube.com/watch?v=NPu7C5xns8Q
演技实力派  【中国文艺  20160517】,https://www.youtube.com/watch?v=lF4MvHG-7Y0
演技实力派  【中国文艺  20160516】,https://www.youtube.com/watch?v=jwMcgn6wIfI
向经典致敬 本期致敬人物——京韵大鼓表演艺术家 骆玉笙  【中国文艺 20160514】,https://www.youtube.com/watch?v=XYjjsLDfmb8
魔法奇观  【中国文艺  20160513】,https://www.youtube.com/watch?v=N0fyTqeKdzA
魔法奇观  【中国文艺  20160512】,https://www.youtube.com/watch?v=u2SZahc4_Ag
魔法奇观  【中国文艺  20160511】,https://www.youtube.com/watch?v=Z7CJrLOlGOI
魔法奇观  【中国文艺  20160510】,https://www.youtube.com/watch?v=IOysp1_hh78
魔法奇观  【中国文艺  20160509】,https://www.youtube.com/watch?v=K1dkXA5UheI
劳动最光荣  【中国文艺  20160508】,https://www.youtube.com/watch?v=jlYkMj-Jlz8
劳动者的乐章   【中国文艺  20160507】,https://www.youtube.com/watch?v=3q64p9YHjAo
劳动最光荣  【中国文艺  20160506】,https://www.youtube.com/watch?v=MLVEzGt9FZU
劳动最光荣  【中国文艺  20160505】,https://www.youtube.com/watch?v=rZ90uwskWUk
劳动最光荣  【中国文艺  20160504】,https://www.youtube.com/watch?v=Gu4RvEZ7xkY
劳动最光荣  【中国文艺  20160503】,https://www.youtube.com/watch?v=wXyBVtJEB5w
劳动最光荣  【中国文艺  20160502】,https://www.youtube.com/watch?v=OA82kBR7MAE
向经典致敬 本期致敬人物——京剧表演艺术家 梅葆玖  【中国文艺  20160501】,https://www.youtube.com/watch?v=VHYTCEtrpIM
向经典致敬 本期致敬人物——京剧表演艺术家 梅葆玖  【中国文艺  20160430】,https://www.youtube.com/watch?v=vxvqnywYFF0
不朽的传艺者  【中国文艺  20160429】,https://www.youtube.com/watch?v=oJl--tSp7Y8
不朽的传艺者  【中国文艺  20160428】,https://www.youtube.com/watch?v=MzjVVY_xSr4
不朽的传艺者  【中国文艺  20160427】,https://www.youtube.com/watch?v=Qz9DASuWIEY
京剧表演艺术家 梅葆玖  【中国文艺  20160426】,https://www.youtube.com/watch?v=mycX40jwfbk
不朽的传艺者  【中国文艺  20160425】,https://www.youtube.com/watch?v=aU_zT399Ip8
向经典致敬 本期致敬人物——作曲家 赵季平  【中国文艺  20160424】,https://www.youtube.com/watch?v=6RCuFTqAnDw
向经典致敬 本期致敬人物——作曲家 赵季平  【中国文艺  20160423】,https://www.youtube.com/watch?v=jzhRLeXZPAQ
20171028 文化视点  唱响中国梦,https://www.youtube.com/watch?v=jQ5O7Pxoz5E
20170121 文化视点  唱响中国梦,https://www.youtube.com/watch?v=Gc27tWtn2iA
20161031 文化视点  群芳百荟共筑梦,https://www.youtube.com/watch?v=evHYq0L40ko
20161010 文化视点,https://www.youtube.com/watch?v=vYGOCj4mnEs
20160926 文化视点,https://www.youtube.com/watch?v=KsR-xcxU7Rs
20160822 文化视点  暑期特别节目 暑假私房菜,https://www.youtube.com/watch?v=kJn7N4lGxbo
20160815 文化视点  暑期特别节目 暑假私房菜,https://www.youtube.com/watch?v=M8Rx6v6S4ME
20160812 文化视点  陪你读书,https://www.youtube.com/watch?v=KFGKsSivvN4
20160808 文化视点  暑期特别节目 暑假私房菜,https://www.youtube.com/watch?v=lGzCqTacrg8
20160727 文化视点  暑假私房菜,https://www.youtube.com/watch?v=2lkGO0LaBHI
