xiaohei,#genre#
北京卫视,http://120.41.124.228:8888/rtp/239.61.2.32:8186
云南卫视,http://120.41.124.228:8888/rtp/239.61.2.61:8360
河南卫视,http://120.41.124.228:8888/rtp/239.61.2.59:8348
海南卫视,http://120.41.124.228:8888/rtp/239.61.2.42:8246
广西卫视,http://120.41.124.228:8888/rtp/239.61.2.48:8282
陕西卫视,http://120.41.124.228:8888/rtp/239.61.2.38:8222
青海卫视,http://120.41.124.228:8888/rtp/239.61.2.60:8354
宁夏卫视,http://120.41.124.228:8888/rtp/239.61.2.56:8330
吉林卫视,http://120.41.124.228:8888/rtp/239.61.2.223:9326
山西卫视,http://120.41.124.228:8888/rtp/239.61.2.224:9332
甘肃卫视,http://120.41.124.228:8888/rtp/239.61.2.225:9338
内蒙古卫视,http://120.41.124.228:8888/rtp/239.61.2.226:9344
新疆卫视,http://120.41.124.228:8888/rtp/239.61.2.227:9350
兵团卫视,http://120.41.124.228:8888/rtp/239.61.2.228:9356
西藏卫视,http://120.41.124.228:8888/rtp/239.61.2.229:9362
大湾区卫视,http://120.41.124.228:8888/rtp/239.61.3.5:9548
三沙卫视,http://120.41.124.228:8888/rtp/239.61.3.10:9578
广东卫视,http://113.109.250.98:9999/udp/239.77.0.2:5146
广东卫视,http://113.109.250.98:9999/udp/239.77.1.2:5146
大湾区卫视,http://113.109.250.98:9999/udp/239.77.0.9:5146
大湾区卫视,http://113.109.250.98:9999/udp/239.77.1.12:5146
深圳卫视,http://113.109.250.98:9999/udp/239.77.1.3:5146
深圳卫视,http://113.109.250.98:9999/udp/239.77.1.148:5146
深圳卫视,http://113.109.250.98:9999/udp/239.77.0.92:5146
深圳卫视,http://113.109.250.98:9999/udp/239.77.0.130:5146
湖南卫视,http://113.109.250.98:9999/udp/239.77.0.46:5146
湖南卫视,http://113.109.250.98:9999/udp/239.77.1.29:5146
湖南卫视,http://113.109.250.98:9999/udp/239.77.1.5:5146
湖南卫视,http://113.109.250.98:9999/udp/239.77.1.129:5146
湖南卫视,http://113.109.250.98:9999/udp/239.77.0.88:5146
