直播_斯玛特,#genre#
Channel 5 Thailand,http://127.0.0.1:8084/smt.php?play=2&id=ch5_pat
Channel 7 Thailand,http://127.0.0.1:8084/smt.php?play=2&id=ch7_pat
MCOT HD Thailand-1,http://127.0.0.1:8084/smt.php?play=2&id=mcot_pat
PPTV Thailand1,http://127.0.0.1:8084/smt.php?play=2&id=pptv_pat
Thai Thai,http://127.0.0.1:8084/smt.php?play=2&id=thaithai_pat
Amarin,http://127.0.0.1:8084/smt.php?play=2&id=amarin_pat
Ch 8,http://127.0.0.1:8084/smt.php?play=2&id=ch8_pat
GmmOne,http://127.0.0.1:8084/smt.php?play=2&id=gmmone_pat
Mono,http://127.0.0.1:8084/smt.php?play=2&id=mono_pat
Thairath,http://127.0.0.1:8084/smt.php?play=2&id=thairath_pat
tpbs,http://127.0.0.1:8084/smt.php?play=2&id=tpbs_pat
Workpoint,http://127.0.0.1:8084/smt.php?play=2&id=workpoint_pat
Gmm Channel,http://127.0.0.1:8084/smt.php?play=2&id=gmmchannel_pat
Nation,http://127.0.0.1:8084/smt.php?play=2&id=nation_pat
Tnn24,http://127.0.0.1:8084/smt.php?play=2&id=tnn24_pat
Nbt,http://127.0.0.1:8084/smt.php?play=2&id=nbt_pat
New,http://127.0.0.1:8084/smt.php?play=2&id=new_pat
TPTV,http://127.0.0.1:8084/smt.php?play=2&id=tptv_pat
BBC 1,http://127.0.0.1:8084/smt.php?play=2&id=bbc1_antik
BBC 2,http://127.0.0.1:8084/smt.php?play=2&id=bbc2_antik
CBBC,http://127.0.0.1:8084/smt.php?play=2&id=cbbc_antik
More4,http://127.0.0.1:8084/smt.php?play=2&id=more4_antik
Freesports,http://127.0.0.1:8084/smt.php?play=2&id=freesports_antik
Pick TV,http://127.0.0.1:8084/smt.php?play=2&id=picktv_antik
itv 1,http://127.0.0.1:8084/smt.php?play=2&id=itv1_antik
itv 2,http://127.0.0.1:8084/smt.php?play=2&id=itv2_antik
Euronews,http://127.0.0.1:8084/smt.php?play=2&id=euronews_antik
Channel 4,http://127.0.0.1:8084/smt.php?play=2&id=channel4_antik
BBC World News,http://127.0.0.1:8084/smt.php?play=2&id=bbcworldnews_antik
ANTV,http://127.0.0.1:8084/smt.php?play=2&id=viet_antv
VTV 1,http://127.0.0.1:8084/smt.php?play=2&id=viet_vtv1
VTV 7,http://127.0.0.1:8084/smt.php?play=2&id=viet_vtv7
HTV 7,http://127.0.0.1:8084/smt.php?play=2&id=viet_htv7
HTV 9,http://127.0.0.1:8084/smt.php?play=2&id=viet_htv9
BPTV 2,http://127.0.0.1:8084/smt.php?play=2&id=viet_bptv2
BRT HD,http://127.0.0.1:8084/smt.php?play=2&id=viet_brt
Ca Mau TV,http://127.0.0.1:8084/smt.php?play=2&id=viet_camautv
Danang TV1 HD,http://127.0.0.1:8084/smt.php?play=2&id=viet_danangtv1
Danang TV2 HD,http://127.0.0.1:8084/smt.php?play=2&id=viet_danangtv2
HBTV HD,http://127.0.0.1:8084/smt.php?play=2&id=viet_hbtv
PTTH 1,http://127.0.0.1:8084/smt.php?play=2&id=viet_ptth1
Arirang HD,http://127.0.0.1:8084/smt.php?play=2&id=arirang_korea
Yonhap News,http://127.0.0.1:8084/smt.php?play=2&id=yonhapnews_korea
CBS,http://127.0.0.1:8084/smt.php?play=2&id=cbs_korea
EBS 1,http://127.0.0.1:8084/smt.php?play=2&id=ebs1_korea
EBS2,http://127.0.0.1:8084/smt.php?play=2&id=ebs2_korea
EBS Plus2,http://127.0.0.1:8084/smt.php?play=2&id=ebsplus2_korea
SBS Plus,http://127.0.0.1:8084/smt.php?play=2&id=sbsplus_korea
YTN,http://127.0.0.1:8084/smt.php?play=2&id=ytn_korea
KBS World 24,http://127.0.0.1:8084/smt.php?play=2&id=kbsworld24_korea
YTN Science,http://127.0.0.1:8084/smt.php?play=2&id=ytnscience_korea
YTN Korean,http://127.0.0.1:8084/smt.php?play=2&id=ytnkorean_korea
YTN DMB,http://127.0.0.1:8084/smt.php?play=2&id=ytndmb_korea
Apps TV,http://127.0.0.1:8084/smt.php?play=2&id=appongoogle_korea
All the Kpop,http://127.0.0.1:8084/smt.php?play=2&id=allthekpop_korea
J the Kpop,http://127.0.0.1:8084/smt.php?play=2&id=jthekpop_korea
EBS Kids,http://127.0.0.1:8084/smt.php?play=2&id=ebskids_korea
CGNTV,http://127.0.0.1:8084/smt.php?play=2&id=cgntv_korea
NHK-総合-2,http://127.0.0.1:8084/smt.php?play=2&id=nhkg_japan
NHK-E,http://127.0.0.1:8084/smt.php?play=2&id=nhke_japan
テレビ朝日 Asahi TV,http://127.0.0.1:8084/smt.php?play=2&id=asahitv_japan
JET 綜合,http://127.0.0.1:8084/smt.php?play=2&id=jettv_japan
テレビ東京 Tokyo TV,http://127.0.0.1:8084/smt.php?play=2&id=tokyotv_japan
TOKYOMX,http://127.0.0.1:8084/smt.php?play=2&id=tokyomx_japan
NHKBS1,http://127.0.0.1:8084/smt.php?play=2&id=nhkbs1_japan
NHKBSプレミア Premium,http://127.0.0.1:8084/smt.php?play=2&id=nhkpremium_japan
BSジャパン 181,http://127.0.0.1:8084/smt.php?play=2&id=bs181_japan
BSフジ BS Fuji,http://127.0.0.1:8084/smt.php?play=2&id=bsfuji_japan
CNA Japan,http://127.0.0.1:8084/smt.php?play=2&id=cna_japan
BS-TBS,http://127.0.0.1:8084/smt.php?play=2&id=bstbs_japan
NHK Oaska,http://127.0.0.1:8084/smt.php?play=2&id=nhkosaka_japan
