直播_斯玛特,#genre#
Arena,http://127.0.0.1:8084/smt.php?play=2&id=Arena
Arena 2,http://127.0.0.1:8084/smt.php?play=2&id=Arena2
BolaArena 1,http://127.0.0.1:8084/smt.php?play=2&id=Bolaarena1
BolaArena 2,http://127.0.0.1:8084/smt.php?play=2&id=Bolaarena2
Astro Beinsports 1,http://127.0.0.1:8084/smt.php?play=2&id=Astrobein1
Astro Beinsports 2,http://127.0.0.1:8084/smt.php?play=2&id=Astrobein2
Astro Beinsports 3,http://127.0.0.1:8084/smt.php?play=2&id=Astrobein3
TVBS News 新闻台,http://127.0.0.1:8084/smt.php?play=2&id=tvbs_n
TVBS 欢乐台 （备份）,http://127.0.0.1:8084/smt.php?play=2&id=tvbshuanle_twn
TVBS HD,http://127.0.0.1:8084/smt.php?play=2&id=tvbs
中天新闻 HD,http://127.0.0.1:8084/smt.php?play=2&id=ctinews
中天娱乐 CTI Entertaiment,http://127.0.0.1:8084/smt.php?play=2&id=ctient
中天综合 CTI Metro,http://127.0.0.1:8084/smt.php?play=2&id=ctizhonghe
中天亚洲台,http://127.0.0.1:8084/smt.php?play=2&id=ctiasia_twn
台视 TTV HD,http://127.0.0.1:8084/smt.php?play=2&id=ttv_taiwan
台视新闻台,http://127.0.0.1:8084/smt.php?play=2&id=ttvnews_twn
台视综合台,http://127.0.0.1:8084/smt.php?play=2&id=ttvzhonghe
中视 HD,http://127.0.0.1:8084/smt.php?play=2&id=zhongshihd_twn
中视新闻台,http://127.0.0.1:8084/smt.php?play=2&id=zhongshinews_twn
民视 HD,http://127.0.0.1:8084/smt.php?play=2&id=ftvhd_taiwan
民视新闻台 FTV News,http://127.0.0.1:8084/smt.php?play=2&id=ftvnew_taiwan
民视台湾台,http://127.0.0.1:8084/smt.php?play=2&id=ftvtaiwan_twn
华视 CTS HD,http://127.0.0.1:8084/smt.php?play=2&id=ctshd_twn
公视 CTV,http://127.0.0.1:8084/smt.php?play=2&id=ctv18_twn
八大第一 GTV First,http://127.0.0.1:8084/smt.php?play=2&id=badafirst
八大综合 GTV Metro,http://127.0.0.1:8084/smt.php?play=2&id=badazhonghe
八大戏剧 GTV Drama,http://127.0.0.1:8084/smt.php?play=2&id=badadrama
八大娱乐 GTV Entertainment,http://127.0.0.1:8084/smt.php?play=2&id=badaentertain
HBO_HD,http://127.0.0.1:8084/smt.php?play=2&id=hbohd_twn
HBO_HITS,http://127.0.0.1:8084/smt.php?play=2&id=hbohit_twn
Hollywood Movies,http://127.0.0.1:8084/smt.php?play=2&id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://127.0.0.1:8084/smt.php?play=2&id=sanlitaiwan
三立戏剧台,http://127.0.0.1:8084/smt.php?play=2&id=sanlixiju_twn
三立综合 Sanli Metro,http://127.0.0.1:8084/smt.php?play=2&id=sanlizhonghe
三立都会台,http://127.0.0.1:8084/smt.php?play=2&id=sanlidouhui
东森新闻 ETTV News,http://127.0.0.1:8084/smt.php?play=2&id=ettvnews
CINEMAX,http://127.0.0.1:8084/smt.php?play=2&id=cinemax_twn
东森综合 ETTV Metro,http://127.0.0.1:8084/smt.php?play=2&id=ettvzhonghe
东森戏剧 ETTV Drama,http://127.0.0.1:8084/smt.php?play=2&id=ettvdrama
东森超视,http://127.0.0.1:8084/smt.php?play=2&id=ettvsuper
东森财经新闻 ETTV Business,http://127.0.0.1:8084/smt.php?play=2&id=ettvcaijing_twn
