5IPTV,#genre#
南京十八频道,http://$api?p=gitv&id=G_NJSB.m3u8
徐州新闻综合,http://$api?p=gitv&id=xzxwzh.m3u8
徐州经济生活,http://$api?p=gitv&id=xzjjsh.m3u8
徐州文艺影视,http://$api?p=gitv&id=xzwyys.m3u8
徐州公共,http://$api?p=gitv&id=xzgg.m3u8
徐州新沂3套,http://$api?p=gitv&id=G_XZXYTV-3.m3u8
徐州沛县新闻综合,http://$api?p=gitv&id=xzpxxwzh.m3u8
徐州沛县综艺,http://$api?p=gitv&id=xzpxzy.m3u8
徐州沛县生活,http://$api?p=gitv&id=xzpxsh.m3u8
常州新闻,http://$api?p=gitv&id=jsczxinwen.m3u8
常州都市,http://$api?p=gitv&id=jsczdushi.m3u8
常州生活,http://$api?p=gitv&id=jsczshenghuo.m3u8
常州公共,http://$api?p=gitv&id=jsczgonggong.m3u8
睢宁综合,http://$api?p=gitv&id=xzsnzh.m3u8
睢宁资讯,http://$api?p=gitv&id=xzsnzx.m3u8
睢宁生活,http://$api?p=gitv&id=xzsnshjy.m3u8
睢宁三农,http://$api?p=gitv&id=xzsnsn.m3u8
南通一套,http://$api?p=gitv&id=jsntyitao.m3u8
南通二套,http://$api?p=gitv&id=jsntertao.m3u8
公共崇川,http://$api?p=gitv&id=jsntsantao.m3u8
镇江一套,http://$api?p=gitv&id=G_ZHENJIANGTV-1.m3u8
镇江二套,http://$api?p=gitv&id=G_ZHENJIANGTV-2.m3u8
镇江三套,http://$api?p=gitv&id=G_ZHENJIANGTV-3.m3u8
宿迁综合,http://$api?p=gitv&id=G_SQZH.m3u8
宿迁公共,http://$api?p=gitv&id=G_SQGG.m3u8
邳州综合,http://$api?p=gitv&id=pzzonghe.m3u8
邳州综艺,http://$api?p=gitv&id=pzzongyi.m3u8
赣榆新闻综合,http://$api?p=gitv&id=HD-2500k-1080P-ganyutv.m3u8
江苏仪化电视,http://$api?p=gitv&id=HD-4000k-1080P-jsyihua.m3u8
猎冰,http://$api?p=gitv&id=cos-liebing.m3u8
永安梦,http://$api?p=gitv&id=cos-yonganmeng.m3u8
漫长的季节,http://$api?p=gitv&id=manchangdjj.m3u8
梦中的那片海,http://$api?p=gitv&id=mengzhongdnph.m3u8
繁花,http://$api?p=gitv&id=fanhua.m3u8
庆余年,http://$api?p=gitv&id=zhifouzf.m3u8
百姓生活,http://$api?p=gitv&id=baixingsh.m3u8
黑土无言,http://$api?p=gitv&id=COSHD-4000k-1080P-htwy.m3u8
问心,http://$api?p=gitv&id=COSHD-4000k-1080P-wenxin.m3u8
父辈的荣耀,http://$api?p=gitv&id=COSHD-4000k-1080P-fbdry.m3u8
繁城之下,http://$api?p=gitv&id=COSHD-4000k-1080P-fczx.m3u8
小日子,http://$api?p=gitv&id=COSHD-4000k-1080P-xiaorizi.m3u8
谢谢你温暖我,http://$api?p=gitv&id=COSHD-4000k-1080P-xxnwnw.m3u8
当你沉睡时,http://$api?p=gitv&id=COSHD-4000k-1080P-dncss.m3u8
梨园经典荟萃,http://$api?p=gitv&id=COSHD-4000k-1080P-lyjdhc.m3u8
影视剧场,http://$api?p=gitv&id=GITV-JS-1.m3u8
第一院线,http://$api?p=gitv&id=GITV-JS-2.m3u8
居家健身,http://$api?p=gitv&id=GITV-JS-4.m3u8
电视剧,http://$api?p=gitv&id=GITV-JS-6.m3u8
二更视频,http://$api?p=gitv&id=GITV-JS-7.m3u8
德凯奥特曼,http://$api?p=gitv&id=GITV-JS-9.m3u8
熊出没,http://$api?p=gitv&id=GITV-JS-10.m3u8
超级飞侠,http://$api?p=gitv&id=GITV-JS-11.m3u8
小猪佩奇,http://$api?p=gitv&id=GITV-JS-12.m3u8
汪汪队立大功,http://$api?p=gitv&id=GITV-JS-13.m3u8
高分电影,http://$api?p=gitv&id=GITV-JS-14.m3u8
乡村爱情,http://$api?p=gitv&id=GITV-JS-15.m3u8
热门综艺,http://$api?p=gitv&id=GITV-JS-16.m3u8
美食美味,http://$api?p=gitv&id=GITV-JS-17.m3u8
自然风景,http://$api?p=gitv&id=GITV-JS-18.m3u8
动物世界,http://$api?p=gitv&id=GITV-JS-19.m3u8
书籍解读,http://$api?p=gitv&id=GITV-JS-20.m3u8
亲子玩具,http://$api?p=gitv&id=GITV-JS-21.m3u8
广场舞,http://$api?p=gitv&id=GITV-JS-22.m3u8
戏曲音乐,http://$api?p=gitv&id=GITV-JS-23.m3u8
相声联欢,http://$api?p=gitv&id=GITV-JS-24.m3u8
动漫星空,http://$api?p=gitv&id=GITV-JS-25.m3u8
楚乔传,http://$api?p=gitv&id=GITV-JS-26.m3u8
完美的她,http://$api?p=gitv&id=GITV-JS-27.m3u8
哈尔滨一九四四,http://$api?p=gitv&id=GITV-JS-28.m3u8
军事之旅,http://$api?p=gitv&id=GITV-JS-29.m3u8
科幻世界,http://$api?p=gitv&id=GITV-JS-30.m3u8
儿童天地,http://$api?p=gitv&id=GITV-JS-31.m3u8
纪录片,http://$api?p=gitv&id=GITV-JS-32.m3u8
音乐心情,http://$api?p=gitv&id=GITV-JS-33.m3u8
掼蛋频道,http://$api?p=gitv&id=GITV-JS-34.m3u8
体坛同期声,http://$api?p=gitv&id=GITV-JS-35.m3u8
臻享推荐,http://$api?p=gitv&id=GITV-JS-36.m3u8
怀旧MTV,http://$api?p=gitv&id=GITV-JS-37.m3u8
南来北往,http://$api?p=gitv&id=GITV-JS-39.m3u8
狗剩快跑,http://$api?p=gitv&id=GITV-JS-40.m3u8
狂飙,http://$api?p=gitv&id=GITV-JS-41.m3u8
人世间,http://$api?p=gitv&id=GITV-JS-42.m3u8
大江大河,http://$api?p=gitv&id=GITV-JS-43.m3u8
山海情,http://$api?p=gitv&id=GITV-JS-44.m3u8
冰雪竞技场,http://$api?p=gitv&id=GITV-JS-45.m3u8
邪恶与疯狂,http://$api?p=gitv&id=GITV-JS-46.m3u8
来自星星的你,http://$api?p=gitv&id=GITV-JS-47.m3u8
哦我的鬼神大人,http://$api?p=gitv&id=GITV-JS-48.m3u8
太阳的后裔,http://$api?p=gitv&id=GITV-JS-49.m3u8
请回答1988,http://$api?p=gitv&id=GITV-JS-50.m3u8
