jackTV (1),#genre#
千禧经典台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Tvbclassic
TVB娱乐新闻台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Tvbentertainment
天映频道_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Celestial
天映经典_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Celestial2
爱奇艺_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Qiyi
八度空间_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=TV8
Astro欢喜台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Huahee
Astro AOD_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Aodhd
Astro AEC_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=AEC
Astro QJ_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Quanjia
中天新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%B8%AD%E5%A4%A9%E6%96%B0%E8%81%9E%E5%8F%B0
TVBS新聞,https://4gtv.tzh911.qzz.io/playlist?channel=TVBS%E6%96%B0%E8%81%9E
民視新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%B0%91%E8%A6%96%E6%96%B0%E8%81%9E%E5%8F%B0
東森新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%9D%B1%E6%A3%AE%E6%96%B0%E8%81%9E%E5%8F%B0
華視新聞,https://4gtv.tzh911.qzz.io/playlist?channel=%E8%8F%AF%E8%A6%96%E6%96%B0%E8%81%9E
鏡電視新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%8F%A1%E9%9B%BB%E8%A6%96%E6%96%B0%E8%81%9E%E5%8F%B0
東森財經新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%9D%B1%E6%A3%AE%E8%B2%A1%E7%B6%93%E6%96%B0%E8%81%9E%E5%8F%B0
中視新聞,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%B8%AD%E8%A6%96%E6%96%B0%E8%81%9E
寰宇新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%AF%B0%E5%AE%87%E6%96%B0%E8%81%9E%E5%8F%B0
寰宇新聞台灣台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%AF%B0%E5%AE%87%E6%96%B0%E8%81%9E%E5%8F%B0%E7%81%A3%E5%8F%B0
三立新聞iNEWS,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%B8%89%E7%AB%8B%E6%96%B0%E8%81%9EiNEWS
Bloomberg TV,https://4gtv.tzh911.qzz.io/playlist?channel=Bloomberg%20TV
SBN全球財經台,https://4gtv.tzh911.qzz.io/playlist?channel=SBN%E5%85%A8%E7%90%83%E8%B2%A1%E7%B6%93%E5%8F%B0
FRANCE24 英文台,https://4gtv.tzh911.qzz.io/playlist?channel=FRANCE24%20%E8%8B%B1%E6%96%87%E5%8F%B0
半島國際新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%8D%8A%E5%B3%B6%E5%9C%8B%E9%9A%9B%E6%96%B0%E8%81%9E%E5%8F%B0
NHK WORLD-JAPAN,https://4gtv.tzh911.qzz.io/playlist?channel=NHK%20WORLD-JAPAN
CNBC Asia 財經台,https://4gtv.tzh911.qzz.io/playlist?channel=CNBC%20Asia%20%E8%B2%A1%E7%B6%93%E5%8F%B0
DW德國之聲,https://4gtv.tzh911.qzz.io/playlist?channel=DW%E5%BE%B7%E5%9C%8B%E4%B9%8B%E8%81%B2
民視第一台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%B0%91%E8%A6%96%E7%AC%AC%E4%B8%80%E5%8F%B0
民視台灣台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%B0%91%E8%A6%96%E5%8F%B0%E7%81%A3%E5%8F%B0
民視,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%B0%91%E8%A6%96
三立綜合台,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%B8%89%E7%AB%8B%E7%B6%9C%E5%90%88%E5%8F%B0
華視,https://4gtv.tzh911.qzz.io/playlist?channel=%E8%8F%AF%E8%A6%96
中視,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%B8%AD%E8%A6%96
中視經典台,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%B8%AD%E8%A6%96%E7%B6%93%E5%85%B8%E5%8F%B0
中視菁采台,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%B8%AD%E8%A6%96%E8%8F%81%E9%87%87%E5%8F%B0
八大綜藝台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%85%AB%E5%A4%A7%E7%B6%9C%E8%97%9D%E5%8F%B0
TVBS精采台,https://4gtv.tzh911.qzz.io/playlist?channel=TVBS%E7%B2%BE%E9%87%87%E5%8F%B0
民視綜藝台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%B0%91%E8%A6%96%E7%B6%9C%E8%97%9D%E5%8F%B0
TVBS,https://4gtv.tzh911.qzz.io/playlist?channel=TVBS
TVBS歡樂台,https://4gtv.tzh911.qzz.io/playlist?channel=TVBS%E6%AD%A1%E6%A8%82%E5%8F%B0
TVBS綜藝台,https://4gtv.tzh911.qzz.io/playlist?channel=TVBS%E7%B6%9C%E8%97%9D%E5%8F%B0
TVBS台劇台,https://4gtv.tzh911.qzz.io/playlist?channel=TVBS%E5%8F%B0%E5%8A%87%E5%8F%B0
靖天綜合台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E7%B6%9C%E5%90%88%E5%8F%B0
靖天日本台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E6%97%A5%E6%9C%AC%E5%8F%B0
KLT-靖天國際台,https://4gtv.tzh911.qzz.io/playlist?channel=KLT-%E9%9D%96%E5%A4%A9%E5%9C%8B%E9%9A%9B%E5%8F%B0
靖天資訊台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E8%B3%87%E8%A8%8A%E5%8F%B0
Nice TV 靖天歡樂台,https://4gtv.tzh911.qzz.io/playlist?channel=Nice%20TV%20%E9%9D%96%E5%A4%A9%E6%AD%A1%E6%A8%82%E5%8F%B0
新唐人亞太台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%96%B0%E5%94%90%E4%BA%BA%E4%BA%9E%E5%A4%AA%E5%8F%B0
ARIRANG阿里郎頻道,https://4gtv.tzh911.qzz.io/playlist?channel=ARIRANG%E9%98%BF%E9%87%8C%E9%83%8E%E9%A0%BB%E9%81%93
Global Trekker,https://4gtv.tzh911.qzz.io/playlist?channel=Global%20Trekker
原住民族電視台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%8E%9F%E4%BD%8F%E6%B0%91%E6%97%8F%E9%9B%BB%E8%A6%96%E5%8F%B0
客家電視台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%AE%A2%E5%AE%B6%E9%9B%BB%E8%A6%96%E5%8F%B0
國會頻道1,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%9C%8B%E6%9C%83%E9%A0%BB%E9%81%931
國會頻道2,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%9C%8B%E6%9C%83%E9%A0%BB%E9%81%932
好消息,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%A5%BD%E6%B6%88%E6%81%AF
好消息2台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%A5%BD%E6%B6%88%E6%81%AF2%E5%8F%B0
大愛電視,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%A4%A7%E6%84%9B%E9%9B%BB%E8%A6%96
大愛二台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%A4%A7%E6%84%9B%E4%BA%8C%E5%8F%B0
人間衛視,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%BA%BA%E9%96%93%E8%A1%9B%E8%A6%96
民視旅遊台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%B0%91%E8%A6%96%E6%97%85%E9%81%8A%E5%8F%B0
亞洲旅遊台,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%BA%9E%E6%B4%B2%E6%97%85%E9%81%8A%E5%8F%B0
愛爾達生活旅遊台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%84%9B%E7%88%BE%E9%81%94%E7%94%9F%E6%B4%BB%E6%97%85%E9%81%8A%E5%8F%B0
fun探索娛樂台,https://4gtv.tzh911.qzz.io/playlist?channel=fun%E6%8E%A2%E7%B4%A2%E5%A8%9B%E6%A8%82%E5%8F%B0
幸福空間居家台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%B9%B8%E7%A6%8F%E7%A9%BA%E9%96%93%E5%B1%85%E5%AE%B6%E5%8F%B0
Love Nature,https://4gtv.tzh911.qzz.io/playlist?channel=Love%20Nature
History 歷史頻道,https://4gtv.tzh911.qzz.io/playlist?channel=History%20%E6%AD%B7%E5%8F%B2%E9%A0%BB%E9%81%93
LUXE TV Channel,https://4gtv.tzh911.qzz.io/playlist?channel=LUXE%20TV%20Channel
TV5MONDE STYLE HD 生活時尚,https://4gtv.tzh911.qzz.io/playlist?channel=TV5MONDE%20STYLE%20HD%20%E7%94%9F%E6%B4%BB%E6%99%82%E5%B0%9A
MagellanTV頻道 (麥哲倫頻道),https://4gtv.tzh911.qzz.io/playlist?channel=MagellanTV%E9%A0%BB%E9%81%93%20%28%E9%BA%A5%E5%93%B2%E5%80%AB%E9%A0%BB%E9%81%93%29
Lifetime 娛樂頻道,https://4gtv.tzh911.qzz.io/playlist?channel=Lifetime%20%E5%A8%9B%E6%A8%82%E9%A0%BB%E9%81%93
ROCK Entertainment,https://4gtv.tzh911.qzz.io/playlist?channel=ROCK%20Entertainment
八大精彩台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%85%AB%E5%A4%A7%E7%B2%BE%E5%BD%A9%E5%8F%B0
靖天育樂台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E8%82%B2%E6%A8%82%E5%8F%B0
豬哥亮歌廳秀,https://4gtv.tzh911.qzz.io/playlist?channel=%E8%B1%AC%E5%93%A5%E4%BA%AE%E6%AD%8C%E5%BB%B3%E7%A7%80
韓國娛樂台 KMTV,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9F%93%E5%9C%8B%E5%A8%9B%E6%A8%82%E5%8F%B0%20KMTV
愛爾達娛樂台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%84%9B%E7%88%BE%E9%81%94%E5%A8%9B%E6%A8%82%E5%8F%B0
民視影劇台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%B0%91%E8%A6%96%E5%BD%B1%E5%8A%87%E5%8F%B0
公視戲劇,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%85%AC%E8%A6%96%E6%88%B2%E5%8A%87
采昌影劇台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%87%87%E6%98%8C%E5%BD%B1%E5%8A%87%E5%8F%B0
靖天戲劇台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E6%88%B2%E5%8A%87%E5%8F%B0
靖洋戲劇台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E6%B4%8B%E6%88%B2%E5%8A%87%E5%8F%B0
靖天映畫,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E6%98%A0%E7%95%AB
靖天電影台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E9%9B%BB%E5%BD%B1%E5%8F%B0
影迷數位電影台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%BD%B1%E8%BF%B7%E6%95%B8%E4%BD%8D%E9%9B%BB%E5%BD%B1%E5%8F%B0
amc電影台,https://4gtv.tzh911.qzz.io/playlist?channel=amc%E9%9B%BB%E5%BD%B1%E5%8F%B0
CinemaWorld,https://4gtv.tzh911.qzz.io/playlist?channel=CinemaWorld
My Cinema Europe HD 我的歐洲電影,https://4gtv.tzh911.qzz.io/playlist?channel=My%20Cinema%20Europe%20HD%20%E6%88%91%E7%9A%84%E6%AD%90%E6%B4%B2%E9%9B%BB%E5%BD%B1
經典電影台,https://4gtv.tzh911.qzz.io/playlist?channel=%E7%B6%93%E5%85%B8%E9%9B%BB%E5%BD%B1%E5%8F%B0
電影原聲台CMusic,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9B%BB%E5%BD%B1%E5%8E%9F%E8%81%B2%E5%8F%B0CMusic
CI 罪案偵查頻道,https://4gtv.tzh911.qzz.io/playlist?channel=CI%20%E7%BD%AA%E6%A1%88%E5%81%B5%E6%9F%A5%E9%A0%BB%E9%81%93
視納華仁紀實頻道,https://4gtv.tzh911.qzz.io/playlist?channel=%E8%A6%96%E7%B4%8D%E8%8F%AF%E4%BB%81%E7%B4%80%E5%AF%A6%E9%A0%BB%E9%81%93
影迷數位紀實台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%BD%B1%E8%BF%B7%E6%95%B8%E4%BD%8D%E7%B4%80%E5%AF%A6%E5%8F%B0
戲劇免費看 1台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%88%B2%E5%8A%87%E5%85%8D%E8%B2%BB%E7%9C%8B%201%E5%8F%B0
LiveABC互動英語頻道,https://4gtv.tzh911.qzz.io/playlist?channel=LiveABC%E4%BA%92%E5%8B%95%E8%8B%B1%E8%AA%9E%E9%A0%BB%E9%81%93
ELTV生活英語台,https://4gtv.tzh911.qzz.io/playlist?channel=ELTV%E7%94%9F%E6%B4%BB%E8%8B%B1%E8%AA%9E%E5%8F%B0
MOMO親子台,https://4gtv.tzh911.qzz.io/playlist?channel=MOMO%E8%A6%AA%E5%AD%90%E5%8F%B0
Nick Jr. 兒童頻道,https://4gtv.tzh911.qzz.io/playlist?channel=Nick%20Jr.%20%E5%85%92%E7%AB%A5%E9%A0%BB%E9%81%93
尼克兒童頻道,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%B0%BC%E5%85%8B%E5%85%92%E7%AB%A5%E9%A0%BB%E9%81%93
DreamWorks 夢工廠動畫,https://4gtv.tzh911.qzz.io/playlist?channel=DreamWorks%20%E5%A4%A2%E5%B7%A5%E5%BB%A0%E5%8B%95%E7%95%AB
靖天卡通台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E5%8D%A1%E9%80%9A%E5%8F%B0
靖洋卡通Nice Bingo,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E6%B4%8B%E5%8D%A1%E9%80%9ANice%20Bingo
金光布袋戲,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%87%91%E5%85%89%E5%B8%83%E8%A2%8B%E6%88%B2
霹靂布袋戲,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9C%B9%E9%9D%82%E5%B8%83%E8%A2%8B%E6%88%B2
經典卡通台,https://4gtv.tzh911.qzz.io/playlist?channel=%E7%B6%93%E5%85%B8%E5%8D%A1%E9%80%9A%E5%8F%B0
精選動漫台,https://4gtv.tzh911.qzz.io/playlist?channel=%E7%B2%BE%E9%81%B8%E5%8B%95%E6%BC%AB%E5%8F%B0
Mezzo Live HD,https://4gtv.tzh911.qzz.io/playlist?channel=Mezzo%20Live%20HD
CLASSICA 古典樂,https://4gtv.tzh911.qzz.io/playlist?channel=CLASSICA%20%E5%8F%A4%E5%85%B8%E6%A8%82
INULTRA,https://4gtv.tzh911.qzz.io/playlist?channel=INULTRA
TRACE Urban,https://4gtv.tzh911.qzz.io/playlist?channel=TRACE%20Urban
TRACE Sport Stars,https://4gtv.tzh911.qzz.io/playlist?channel=TRACE%20Sport%20Stars
ROCK Action,https://4gtv.tzh911.qzz.io/playlist?channel=ROCK%20Action
HITS頻道,https://4gtv.tzh911.qzz.io/playlist?channel=HITS%E9%A0%BB%E9%81%93
車迷TV,https://4gtv.tzh911.qzz.io/playlist?channel=%E8%BB%8A%E8%BF%B7TV
GINX Esports TV,https://4gtv.tzh911.qzz.io/playlist?channel=GINX%20Esports%20TV
Pet Club TV,https://4gtv.tzh911.qzz.io/playlist?channel=Pet%20Club%20TV
滾動力rollor,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%BB%BE%E5%8B%95%E5%8A%9Brollor
達文西頻道,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%81%94%E6%96%87%E8%A5%BF%E9%A0%BB%E9%81%93
智林體育台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%99%BA%E6%9E%97%E9%AB%94%E8%82%B2%E5%8F%B0
時尚運動X,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%99%82%E5%B0%9A%E9%81%8B%E5%8B%95X
翡翠台,https://php.946985.filegear-sg.me/mytv265.php?id=J
翡翠台 4K,https://php.946985.filegear-sg.me/mytv265.php?id=JUHD
TVB Plus,https://php.946985.filegear-sg.me/mytv265.php?id=B
無綫新聞台,https://php.946985.filegear-sg.me/mytv265.php?id=C
明珠台,https://php.946985.filegear-sg.me/mytv265.php?id=P
SUPER獎門人,https://php.946985.filegear-sg.me/mytv265.php?id=SVAR
SUPER EYT,https://php.946985.filegear-sg.me/mytv265.php?id=SEYT
SUPER識食,https://php.946985.filegear-sg.me/mytv265.php?id=SFOO
SUPER識嘆,https://php.946985.filegear-sg.me/mytv265.php?id=STRA
SUPER Music,https://php.946985.filegear-sg.me/mytv265.php?id=SMUS
SUPER金曲,https://php.946985.filegear-sg.me/mytv265.php?id=SGOL
SUPER煲劇,https://php.946985.filegear-sg.me/mytv265.php?id=SSIT
SUPER劇場,https://php.946985.filegear-sg.me/mytv265.php?id=STVM
SUPER話當年,https://php.946985.filegear-sg.me/mytv265.php?id=SDOC
myTV SUPER FREE,https://php.946985.filegear-sg.me/mytv265.php?id=CWIN
myTV SUPER 18台,https://php.946985.filegear-sg.me/mytv265.php?id=C18
黃金翡翠台,https://php.946985.filegear-sg.me/mytv265.php?id=TVG
千禧經典台,https://php.946985.filegear-sg.me/mytv265.php?id=CTVC
華語劇台,https://php.946985.filegear-sg.me/mytv265.php?id=CDR3
粵語片台,https://php.946985.filegear-sg.me/mytv265.php?id=CCLM
亞洲劇台,https://php.946985.filegear-sg.me/mytv265.php?id=CTVS
黃金華劇台,https://php.946985.filegear-sg.me/mytv265.php?id=TVO
娛樂新聞台,https://php.946985.filegear-sg.me/mytv265.php?id=CTVE
戲曲台,https://php.946985.filegear-sg.me/mytv265.php?id=CCOC
SUPER Kids Channel,https://php.946985.filegear-sg.me/mytv265.php?id=KID
ZooMoo,https://php.946985.filegear-sg.me/mytv265.php?id=ZOO
Nickelodeon,https://php.946985.filegear-sg.me/mytv265.php?id=CNIKO
Nick Jr.,https://php.946985.filegear-sg.me/mytv265.php?id=CNIJR
美亞電影台,https://php.946985.filegear-sg.me/mytv265.php?id=CMAM
Thrill,https://php.946985.filegear-sg.me/mytv265.php?id=CTHR
天映經典頻道,https://php.946985.filegear-sg.me/mytv265.php?id=CCCM
中國電影頻道,https://php.946985.filegear-sg.me/mytv265.php?id=CMC
ROCK Action,https://php.946985.filegear-sg.me/mytv265.php?id=CRTX
ROCK Extreme,https://php.946985.filegear-sg.me/mytv265.php?id=RKEX
KIX,https://php.946985.filegear-sg.me/mytv265.php?id=CKIX
Love Nature HD,https://php.946985.filegear-sg.me/mytv265.php?id=LNH
Love Nature 4K,https://php.946985.filegear-sg.me/mytv265.php?id=LN4
Global Trekker,https://php.946985.filegear-sg.me/mytv265.php?id=SMS
ROCK綜藝娛樂,https://php.946985.filegear-sg.me/mytv265.php?id=CRTE
AXN,https://php.946985.filegear-sg.me/mytv265.php?id=CAXN
Animax,https://php.946985.filegear-sg.me/mytv265.php?id=CANI
tvN,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
無線衛星亞洲台,https://php.946985.filegear-sg.me/mytv265.php?id=CTS1
創世電視,https://php.946985.filegear-sg.me/mytv265.php?id=CRE
FashionBox,https://php.946985.filegear-sg.me/mytv265.php?id=FBX
Mezzo Live HD,https://php.946985.filegear-sg.me/mytv265.php?id=CMEZ
雲南瀾湄國際衛視,https://php.946985.filegear-sg.me/mytv265.php?id=YNTV
安徽廣播電視台國際頻道,https://php.946985.filegear-sg.me/mytv265.php?id=AHTV
北京電視台國際頻道,https://php.946985.filegear-sg.me/mytv265.php?id=BJTV
廣西電視台國際頻道,https://php.946985.filegear-sg.me/mytv265.php?id=GXTV
福建海峽衛視國際頻道,https://php.946985.filegear-sg.me/mytv265.php?id=FJTV
湖南電視台國際頻道,https://php.946985.filegear-sg.me/mytv265.php?id=HNTV
江蘇電視台國際頻道,https://php.946985.filegear-sg.me/mytv265.php?id=JSTV
廣東廣播電視台大灣區衛視頻道,https://php.946985.filegear-sg.me/mytv265.php?id=GBTV
浙江電視台國際頻道,https://php.946985.filegear-sg.me/mytv265.php?id=ZJTV
深圳衛視國際頻道,https://php.946985.filegear-sg.me/mytv265.php?id=SZTV
東方衛視國際頻道,https://php.946985.filegear-sg.me/mytv265.php?id=DTV
鳳凰衛視中文台,https://php.946985.filegear-sg.me/mytv265.php?id=PCC
鳳凰衛視資訊台,https://php.946985.filegear-sg.me/mytv265.php?id=PIN
鳳凰衛視香港台,https://php.946985.filegear-sg.me/mytv265.php?id=PHK
PopC,https://php.946985.filegear-sg.me/mytv265.php?id=POPC
中央電視台綜合頻道 (港澳版),https://php.946985.filegear-sg.me/mytv265.php?id=CC1
CGTN (中國環球電視網)記錄頻道,https://php.946985.filegear-sg.me/mytv265.php?id=CGD
CGTN (中國環球電視網)英語頻道,https://php.946985.filegear-sg.me/mytv265.php?id=CGE
神州新聞台,https://php.946985.filegear-sg.me/mytv265.php?id=CMN1
無線衛星新聞台,https://php.946985.filegear-sg.me/mytv265.php?id=CTSN
亞洲新聞台,https://php.946985.filegear-sg.me/mytv265.php?id=CCNA
半島電視台英語頻道,https://php.946985.filegear-sg.me/mytv265.php?id=CJAZ
France 24,https://php.946985.filegear-sg.me/mytv265.php?id=CF24
DW,https://php.946985.filegear-sg.me/mytv265.php?id=CDW1
NHK World-Japan,https://php.946985.filegear-sg.me/mytv265.php?id=CNHK
Arirang TV,https://php.946985.filegear-sg.me/mytv265.php?id=CARI
SUPER Sports,https://php.946985.filegear-sg.me/mytv265.php?id=SSPT
myTV SUPER直播足球3台,https://php.946985.filegear-sg.me/mytv265.php?id=EVT3
myTV SUPER直播足球4台,https://php.946985.filegear-sg.me/mytv265.php?id=EVT4
myTV SUPER直播足球5台,https://php.946985.filegear-sg.me/mytv265.php?id=EVT5
